,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'dewpoint_temp'}),frozenset({'month'}),0.5249596774193548,0.532258064516129,0.3345967741935484,0.6373761425608726,1.1974945708719424,1.0,0.05518275234131115,1.2898818593654982,0.34717714952498674,0.4630321968640143,0.22473520133703803,0.6330062530986181
1,frozenset({'month'}),frozenset({'dewpoint_temp'}),0.532258064516129,0.5249596774193548,0.3345967741935484,0.6286363636363637,1.1974945708719427,1.0,0.05518275234131115,1.2791783472183837,0.35259431022016113,0.4630321968640143,0.21824818081502587,0.6330062530986181
2,frozenset({'dewpoint_temp'}),frozenset({'air_temp'}),0.5249596774193548,0.5200403225806451,0.37666666666666665,0.717515426172005,1.3797303690056388,1.0,0.103666466679674,1.6990650884589635,0.5793628349357894,0.5635910224438904,0.41144102907382385,0.7209091178054463
3,frozenset({'air_temp'}),frozenset({'dewpoint_temp'}),0.5200403225806451,0.5249596774193548,0.37666666666666665,0.7243028094388876,1.379730369005639,1.0,0.103666466679674,1.7230510097466714,0.5734246457513682,0.5635910224438904,0.41963412902847064,0.7209091178054463
4,frozenset({'month'}),frozenset({'air_temp'}),0.532258064516129,0.5200403225806451,0.33661290322580645,0.6324242424242424,1.2161061651640857,1.0,0.0598172476586889,1.3057435576948648,0.3799175520050231,0.470336356977858,0.23415283643797472,0.6398532780703052
5,frozenset({'air_temp'}),frozenset({'month'}),0.5200403225806451,0.532258064516129,0.33661290322580645,0.6472823137163681,1.2161061651640857,1.0,0.0598172476586889,1.3261085385657252,0.37024645914964865,0.470336356977858,0.24591391208326985,0.6398532780703052
6,"frozenset({'dewpoint_temp', 'month'})",frozenset({'air_temp'}),0.3345967741935484,0.5200403225806451,0.2629032258064516,0.7857315015666425,1.5109049576531546,1.0,0.0888994114203954,2.239991790340723,0.5081805849151579,0.44429301533219756,0.5535697923929038,0.6456377132552139
7,"frozenset({'dewpoint_temp', 'air_temp'})",frozenset({'month'}),0.37666666666666665,0.532258064516129,0.2629032258064516,0.6979731658578361,1.3113435237329043,1.0,0.06241935483870967,1.5486767485822304,0.38089301532101966,0.40695739014647137,0.35428745804089096,0.595956279898615
8,"frozenset({'month', 'air_temp'})",frozenset({'dewpoint_temp'}),0.33661290322580645,0.5249596774193548,0.2629032258064516,0.7810253953042644,1.4877816885740656,1.0,0.08619502471383975,2.1693854556363372,0.49421880197309453,0.4391459554118677,0.5390399629527,0.6409159544306866
9,frozenset({'dewpoint_temp'}),"frozenset({'month', 'air_temp'})",0.5249596774193548,0.33661290322580645,0.2629032258064516,0.5008065135571088,1.4877816885740656,1.0,0.08619502471383975,1.3289177739503346,0.6901695721977209,0.4391459554118677,0.24750799515051658,0.6409159544306866
